instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,leaflets,price reduction,cnt,day_of_month,season_sin,season_cos,mnth_sin,mnth_cos,weekday_sin,weekday_cos
207,3.0,0,7,0,2,1,1,30.8667,44.98134677911706,0.200258,692,0,4590,26,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
71,1.0,0,3,0,6,0,1,13.1667,51.832119737491126,0.220775,580,0,2132,12,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
60,1.0,0,3,0,2,1,1,10.6667,44.237894524862256,0.216425,971,0,1851,1,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
477,2.0,1,4,0,6,0,1,22.8,63.09083933758443,0.283587,524,0,6624,21,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
44,1.0,0,2,0,6,0,1,12.6609,34.34614311041662,0.260883,686,1,1589,13,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
604,3.0,1,8,0,6,0,2,26.1333,83.85550031035595,0.228858,644,0,5255,26,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
199,3.0,0,7,0,1,1,1,29.8667,59.054682551113146,0.215804,840,0,4458,18,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
576,3.0,1,7,0,6,0,1,28.8667,55.549635921247344,0.170396,523,0,6597,29,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
594,3.0,1,8,0,4,1,1,28.7667,42.21987985974717,0.141796,755,0,7605,16,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191
567,3.0,1,7,0,5,1,2,26.6333,83.64315821270664,0.208967,685,0,5870,20,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
411,1.0,1,2,0,3,1,1,13.9333,43.75993362078965,0.1816,998,1,4169,15,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
513,2.0,1,5,0,6,0,1,27.6,64.89638444880912,0.215171,1005,0,6591,27,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
378,1.0,1,1,0,5,1,1,10.9667,40.73284789499645,0.378108,911,0,3214,13,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
236,3.0,0,8,0,3,1,1,26.9333,53.1598314008843,0.1775585,935,0,5130,24,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419
503,2.0,1,5,0,4,1,1,23.7333,42.326050908571816,0.229475,882,0,7384,17,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
131,2.0,0,5,0,3,1,1,21.7,56.71802728328298,0.120642,549,0,4182,11,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
486,2.0,1,4,0,1,1,2,18.5667,48.69886296287328,0.171638,628,0,5572,30,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
424,1.0,1,2,0,2,1,1,14.3667,26.500191821642833,0.193417,595,0,4363,28,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
456,2.0,1,3,0,6,0,2,16.9667,70.15395439360782,0.250617,538,0,6235,31,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
550,3.0,1,7,0,2,1,1,31.2333,38.76785502617314,0.126237,790,0,6660,3,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
615,3.0,1,9,0,4,1,2,27.8667,79.34151007605315,0.142421,598,1,6203,6,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
321,4.0,0,11,0,4,1,2,13.6667,49.44231521712808,0.3053619999999999,532,0,3053,17,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
384,1.0,1,1,0,3,1,1,7.6,39.458285484136155,0.220158,637,0,3292,19,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
656,4.0,1,10,0,3,1,1,18.2333,46.73599901157685,0.101371,492,1,7461,17,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
124,2.0,0,5,0,3,1,2,16.5667,69.99463409225028,0.328996,569,0,2633,4,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
338,4.0,0,12,0,6,0,1,13.2333,74.93356343433392,0.0839583,998,1,3485,4,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
119,2.0,0,4,0,5,1,1,20.4,34.306886588162115,0.240063,911,1,4595,29,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
77,1.0,0,3,0,5,1,1,21.6,42.99099011831764,0.231017,799,0,3239,18,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
623,3.0,1,9,0,5,1,1,25.3333,61.76312767419127,0.103863,918,0,8009,14,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146
468,2.0,1,4,0,4,1,1,15.9,35.47527795019775,0.290429,765,0,5409,12,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191
75,1.0,0,3,0,3,1,2,14.6087,75.0213807844422,0.203117,837,0,2192,16,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
501,2.0,1,5,0,2,1,2,24.4667,77.32336795469696,0.147392,779,0,5115,15,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
3,1.0,0,1,0,1,1,1,7.8546,31.781978452247888,0.248309,829,0,1349,3,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
294,4.0,0,10,0,5,1,1,17.1,49.22997311947876,0.221396,918,0,4304,21,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
637,4.0,1,9,0,5,1,2,24.7667,63.99361189319677,0.164179,658,0,7415,28,-2.4492935982947064e-16,1.0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146
270,4.0,0,9,0,2,1,2,25.4667,88.90072815750533,0.118171,903,1,4120,27,-2.4492935982947064e-16,1.0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
454,2.0,1,3,0,4,1,1,19.7667,32.02338057286482,0.31965,956,0,6133,29,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
2,1.0,0,1,0,6,0,2,14.5391,64.76943803268743,0.2485389999999999,837,1,801,2,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
600,3.0,1,8,0,3,1,1,26.7,62.34725962708853,0.0702833,553,0,7375,22,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419
