iter	RMSE
0	3341.960773
1	3284.31435
2	3212.098666
3	3141.486646
4	3087.451428
5	3040.889003
6	2993.143501
7	2945.353934
8	2901.86182
9	2853.435047
10	2811.653967
11	2770.197794
12	2732.692929
13	2691.174143
14	2681.558081
15	2640.282903
16	2606.516481
17	2567.630346
18	2527.613897
19	2489.351188
20	2453.679862
21	2410.328881
22	2383.659016
23	2348.958935
24	2316.397614
25	2292.019591
26	2262.109648
27	2233.598636
28	2204.015571
29	2195.228467
30	2166.638479
31	2135.882228
32	2094.90077
33	2070.911088
34	2043.496541
35	2036.31205
36	2009.888027
37	1982.115069
38	1962.948852
39	1956.252914
40	1929.849987
41	1904.04633
42	1879.397976
43	1860.003576
44	1836.035275
45	1816.244258
46	1794.235201
47	1770.267411
48	1747.062881
49	1727.730257
50	1706.795168
51	1688.018034
52	1669.262772
53	1648.82669
54	1627.434149
55	1608.205147
56	1602.286658
57	1582.257617
58	1563.629191
59	1548.389334
60	1532.352482
61	1516.645336
62	1498.265716
63	1478.456983
64	1463.387603
65	1445.802647
66	1429.412578
67	1425.594511
68	1410.101902
69	1392.959666
70	1375.741606
71	1367.328253
72	1355.528261
73	1340.177725
74	1335.188766
75	1321.390468
76	1308.820523
77	1304.460446
78	1294.660935
79	1281.49191
80	1267.260377
81	1261.201721
82	1256.596439
83	1242.535323
84	1228.706267
85	1225.008797
86	1221.659816
87	1209.113916
88	1201.591858
89	1194.44879
90	1181.900759
91	1168.978597
92	1156.581279
93	1146.661795
94	1135.162484
95	1132.089883
96	1121.585639
97	1109.864493
98	1098.158211
99	1087.618902
100	1077.163185
101	1069.108133
102	1057.626347
103	1047.294938
104	1036.232708
105	1026.265972
106	1018.846088
107	1008.815273
108	998.0959052
109	987.9571154
110	978.682012
111	975.5805958
112	965.6619647
113	956.5740917
114	946.7816497
115	937.2845579
116	928.0380315
117	918.3689052
118	916.1655165
119	911.8604186
120	903.5519985
121	895.6161732
122	887.2215083
123	877.8286155
124	869.2922492
125	867.1262061
126	865.2361075
127	862.6334976
128	860.8269632
129	851.9080168
130	843.7473122
131	841.6728021
132	839.9666061
133	838.3348491
134	836.7585148
135	834.7149233
136	826.9983554
137	825.4390913
138	817.8915891
139	809.6623904
140	808.2612162
141	806.8954415
142	798.2319547
143	796.2971052
144	789.5598015
145	781.388821
146	778.5009026
147	770.5203947
148	769.2012661
149	762.1545756
150	755.960196
151	748.3133206
152	746.8442368
153	739.234998
154	732.4756029
155	731.2144398
156	724.6318963
157	718.0111193
158	710.5745945
159	709.2234656
160	708.0172866
161	700.4067901
162	693.5668959
163	687.2694278
164	680.934885
165	679.8875286
166	673.2131799
167	671.8365849
168	666.5931478
169	660.4097234
170	654.5925683
171	648.9771535
172	644.1181781
173	637.697774
174	632.7586634
175	628.0326834
176	623.184642
177	622.3661383
178	621.4883695
179	620.6761187
180	615.5704956
181	611.3707675
182	606.6079402
183	605.7022924
184	604.7865544
185	599.4917619
186	598.6486187
187	593.2822411
188	592.4989123
189	587.9982543
190	587.0999483
191	581.8844866
192	575.8490634
193	570.3711852
194	565.6650119
195	561.2756343
196	556.7292856
197	552.6939348
198	548.4673819
199	544.2131837
200	540.3098479
201	535.6794746
202	531.6408157
203	527.3907679
204	522.7416106
205	518.8051232
206	514.1682879
207	509.6143809
208	505.9045293
209	502.4448958
210	500.8426827
211	500.1879144
212	495.9789606
213	491.9210929
214	491.1566967
215	487.392018
216	486.5956944
217	485.9651682
218	482.2491874
219	478.2157365
220	474.8549283
221	471.3029049
222	467.5562359
223	464.0348046
224	460.7537887
225	457.5677072
226	454.193691
227	450.7415377
228	447.385835
229	443.8189037
230	443.2571687
231	440.0836461
232	436.9625626
233	436.4665794
234	433.0877226
235	432.5857997
236	429.5968149
237	429.1806199
238	426.0611172
239	423.9620487
240	421.1780788
241	418.4580478
242	416.1923801
243	415.8789927
244	413.2231709
245	410.4070898
246	407.5031411
247	405.4736826
248	402.9449534
249	400.5232404
250	400.1697758
251	397.5264774
252	394.9112995
253	392.6335345
254	390.2046388
255	387.9321163
256	387.566066
257	385.345328
258	383.2524313
259	381.0012419
260	380.6170165
261	378.2269743
262	375.7462726
263	373.1648395
264	371.1974567
265	370.7181073
266	370.2149367
267	369.9004433
268	367.7998141
269	367.3105614
270	366.7574458
271	366.3184324
272	364.44802
273	362.6154813
274	360.3357145
275	358.4643275
276	358.1151919
277	356.1574244
278	354.7163402
279	353.1822678
280	351.5644668
281	349.8465931
282	348.2088604
283	345.1642708
284	344.7911453
285	343.0926006
286	341.9083605
287	339.5168551
288	339.2899962
289	337.7308799
290	337.4508735
291	335.5460063
292	335.0921438
293	332.5404972
294	332.2291795
295	330.6201521
296	328.9398914
297	326.9793526
298	325.4649326
299	324.2714138
300	324.0480683
301	322.1364629
302	320.0267452
303	318.4106476
304	316.5724508
305	314.356883
306	312.830965
307	311.6893249
308	311.3701825
309	309.6498164
310	307.9880244
311	307.6053222
312	306.4571252
313	305.0743739
314	303.1683266
315	301.3634045
316	299.8709139
317	297.9643206
318	296.4810948
319	294.550328
320	293.2852695
321	291.7678919
322	290.4951151
323	289.1684578
324	288.1459215
325	287.709384
326	286.7932315
327	286.0476963
328	285.0158603
329	283.8522478
330	282.9243762
331	281.4237356
332	280.2874962
333	279.1183941
334	278.0061208
335	276.7853693
336	275.4897398
337	274.3563626
338	272.7660988
339	271.6651189
340	269.9452209
341	268.6130202
342	266.9440111
343	266.7258464
344	265.2826836
345	264.4148349
346	263.3839735
347	262.3576471
348	261.1530018
349	260.2170129
350	259.88942
351	258.6353255
352	257.9619732
353	256.3769898
354	254.8172031
355	254.5872366
356	254.424581
357	252.9269485
358	251.4561141
359	250.0949506
360	249.1913531
361	248.3164506
362	246.9011583
363	246.6949878
364	246.5170265
365	246.3052744
366	245.3551716
367	244.8801524
368	244.1269286
369	243.006131
370	242.0566064
371	241.0473211
372	240.0966762
373	239.4223381
374	238.6457587
375	237.5282347
376	236.2950817
377	235.7865081
378	234.7480697
379	233.6971017
380	232.8707087
381	231.9504283
382	231.08505
383	229.9289429
384	229.7336025
385	228.4118598
386	226.9080113
387	226.2633359
388	225.7438777
389	224.9884335
390	224.6504413
391	223.091987
392	221.6611012
393	220.51281
394	219.9263783
395	218.5856157
396	217.097985
397	215.5867661
398	214.6927964
399	213.8139723
400	212.5813676
401	212.1764909
402	210.6704888
403	209.5694779
404	208.2041126
405	208.0512743
406	207.9097861
407	206.5280425
408	206.3929689
409	206.1984057
410	205.7558758
411	205.0288789
412	204.5111919
413	203.3635573
414	202.209805
415	201.4149002
416	200.517857
417	199.7683079
418	198.5633261
419	198.0839413
