iter	Passed	Remaining
0	2	1442
1	3	980
2	6	1052
3	8	1100
4	11	1126
5	13	1136
6	16	1153
7	18	1164
8	21	1169
9	22	1123
10	25	1126
11	27	1126
12	30	1126
13	32	1136
14	35	1139
15	37	1141
16	40	1142
17	42	1137
18	44	1132
19	46	1108
20	48	1110
21	51	1110
22	53	1113
23	56	1114
24	58	1114
25	60	1110
26	63	1110
27	65	1109
28	68	1107
29	70	1107
30	73	1106
31	75	1105
32	78	1104
33	80	1105
34	83	1104
35	85	1101
36	87	1098
37	90	1096
38	92	1091
39	94	1090
40	95	1065
41	97	1062
42	99	1059
43	102	1057
44	104	1054
45	106	1052
46	107	1036
47	109	1034
48	112	1033
49	114	1032
50	117	1030
51	119	1028
52	121	1025
53	123	1023
54	126	1022
55	128	1020
56	131	1018
57	132	1009
58	134	1007
59	137	1005
60	139	1003
61	141	1001
62	144	1000
63	146	998
64	148	996
65	150	988
66	152	986
67	154	984
68	155	970
69	157	968
70	160	967
71	162	965
72	164	963
73	165	953
74	167	951
75	168	940
76	170	938
77	173	937
78	175	935
79	176	925
80	177	919
81	179	917
82	182	915
83	184	913
84	186	912
85	187	901
86	189	899
87	192	899
88	196	907
89	199	907
90	201	906
91	202	896
92	203	889
93	205	888
94	208	888
95	210	887
96	213	887
97	216	886
98	218	885
99	221	884
100	222	877
101	224	876
102	227	875
103	228	871
104	231	870
105	231	861
106	234	860
107	236	858
108	237	853
109	239	849
110	241	847
111	244	846
112	246	845
113	249	844
114	251	843
115	254	842
116	255	837
117	258	836
118	260	834
119	262	832
120	265	831
121	267	829
122	268	823
123	269	816
124	271	815
125	272	809
126	274	807
127	277	805
128	277	798
129	280	796
130	282	795
131	284	793
132	286	791
133	289	790
134	291	788
135	292	783
136	294	779
137	295	774
138	296	768
139	297	764
140	299	762
141	300	756
142	301	751
143	303	750
144	305	748
145	307	744
146	309	743
147	311	741
148	312	737
149	315	735
150	317	734
151	318	729
152	319	725
153	320	721
154	323	719
155	325	717
156	327	716
157	330	714
158	330	709
159	333	708
160	334	703
161	334	698
162	337	697
163	337	692
164	340	690
165	341	687
166	343	685
167	346	683
168	348	682
169	350	681
170	351	676
171	353	674
172	356	673
173	358	672
174	361	670
175	361	666
176	364	664
177	366	663
178	367	658
179	369	657
180	371	654
181	373	652
182	376	651
183	376	647
184	377	642
185	378	639
186	379	634
187	381	632
188	383	631
189	386	630
190	387	626
191	387	622
192	390	620
193	392	618
194	394	617
195	395	612
196	396	610
197	397	605
198	399	604
199	401	602
200	402	598
201	404	597
202	405	593
203	408	592
204	410	590
205	412	589
206	415	587
207	417	586
208	419	584
209	422	583
210	424	581
211	426	579
212	429	578
213	431	576
214	433	575
215	436	573
216	438	572
217	440	570
218	443	568
219	445	567
220	448	565
221	450	564
222	452	562
223	455	560
224	457	558
225	459	557
226	462	555
227	464	554
228	466	552
229	469	551
230	471	549
231	473	547
232	476	545
233	478	544
234	481	542
235	483	540
236	485	538
237	487	537
238	490	535
239	492	533
240	495	531
241	497	530
242	499	528
243	501	526
244	504	524
245	506	523
246	508	521
247	511	519
248	513	517
249	515	515
250	518	514
251	520	512
252	522	510
253	524	508
254	527	506
255	529	504
256	532	503
257	534	501
258	536	499
259	538	497
260	541	495
261	543	493
262	546	492
263	548	490
264	550	488
265	552	486
266	555	484
267	557	482
268	560	480
269	562	479
270	564	477
271	566	475
272	569	473
273	571	471
274	573	469
275	576	467
276	578	465
277	580	463
278	583	461
279	585	459
280	587	457
281	590	456
282	592	454
283	594	452
284	597	450
285	599	448
286	601	446
287	603	444
288	606	442
289	608	440
290	610	438
291	613	436
292	615	434
293	617	432
294	620	430
295	622	429
296	624	427
297	627	425
298	629	423
299	631	421
300	634	419
301	636	417
302	638	415
303	641	413
304	643	411
305	645	409
306	647	407
307	650	405
308	652	403
309	655	401
310	657	399
311	659	397
312	662	395
313	664	393
314	666	391
315	669	389
316	671	387
317	673	385
318	675	383
319	678	381
320	680	379
321	682	377
322	685	375
323	687	373
324	689	371
325	692	369
326	694	367
327	696	365
328	699	363
329	701	361
330	704	359
331	706	357
332	708	355
333	711	353
334	713	351
335	715	349
336	717	347
337	720	345
338	722	343
339	725	341
340	727	339
341	729	337
342	732	335
343	734	333
344	736	331
345	739	329
346	741	327
347	744	325
348	746	323
349	748	320
350	751	318
351	753	316
352	755	314
353	758	312
354	760	310
355	763	308
356	765	306
357	767	304
358	770	302
359	772	300
360	774	298
361	777	296
362	779	294
363	781	292
364	784	290
365	786	288
366	789	285
367	791	283
368	793	281
369	796	279
370	798	277
371	800	275
372	802	273
373	805	271
374	807	269
375	810	267
376	812	265
377	814	262
378	817	260
379	819	258
380	822	256
381	824	254
382	827	252
383	829	250
384	832	248
385	835	246
386	837	244
387	840	242
388	843	240
389	845	238
390	849	236
391	851	234
392	854	232
393	856	230
394	859	228
395	861	226
396	864	224
397	867	222
398	870	220
399	872	218
400	875	216
401	878	214
402	880	212
403	883	209
404	885	207
405	888	205
406	891	203
407	894	201
408	897	199
409	899	197
410	902	195
411	905	193
412	907	191
413	910	189
414	912	186
415	915	184
416	917	182
417	920	180
418	923	178
419	925	176
420	928	174
421	931	172
422	933	169
423	936	167
424	938	165
425	941	163
426	943	161
427	946	159
428	948	157
429	951	154
430	953	152
431	955	150
432	958	148
433	960	146
434	963	143
435	965	141
436	968	139
437	970	137
438	972	135
439	975	132
440	977	130
441	980	128
442	982	126
443	984	124
444	986	121
445	989	119
446	991	117
447	994	115
448	996	113
449	998	110
450	1001	108
451	1003	106
452	1005	104
453	1008	102
454	1010	99
455	1013	97
456	1015	95
457	1017	93
458	1020	91
459	1022	88
460	1025	86
461	1029	84
462	1032	82
463	1034	80
464	1037	78
465	1039	75
466	1042	73
467	1044	71
468	1048	69
469	1051	67
470	1053	64
471	1057	62
472	1060	60
473	1062	58
474	1065	56
475	1067	53
476	1070	51
477	1072	49
478	1075	47
479	1077	44
480	1079	42
481	1082	40
482	1085	38
483	1087	35
484	1090	33
485	1092	31
486	1095	29
487	1097	26
488	1099	24
489	1102	22
490	1104	20
491	1107	18
492	1109	15
493	1112	13
494	1114	11
495	1117	9
496	1119	6
497	1122	4
498	1124	2
499	1127	0
