,MedInc,AveRooms,Latitude,HouseAge,AveBedrms,Longitude,Label
0,8.3252,6.984126984126984,37.88,41.0,1.0238095238095237,-122.23,4.526
1,8.3014,6.238137082601054,37.86,21.0,0.9718804920913884,-122.22,3.585
2,7.2574,8.288135593220339,37.85,52.0,1.073446327683616,-122.24,3.521
3,5.6431,5.8173515981735155,37.85,52.0,1.0730593607305936,-122.25,3.413
4,3.8462,6.281853281853282,37.85,52.0,1.0810810810810811,-122.25,3.422
5,4.0368,4.761658031088083,37.85,52.0,1.1036269430051813,-122.25,2.697
6,3.6591,4.9319066147859925,37.84,52.0,0.9513618677042801,-122.25,2.992
7,3.12,4.797527047913447,37.84,52.0,1.061823802163833,-122.25,2.414
8,2.0804,4.294117647058823,37.84,42.0,1.1176470588235294,-122.26,2.267
9,3.6912,4.970588235294118,37.84,52.0,0.9901960784313726,-122.25,2.611
10,3.2031,5.477611940298507,37.85,52.0,1.0796019900497513,-122.26,2.815
11,3.2705,4.772479564032698,37.85,52.0,1.0245231607629428,-122.26,2.418
12,3.075,5.322649572649572,37.85,52.0,1.0128205128205128,-122.26,2.135
13,2.6736,4.0,37.84,52.0,1.0977011494252873,-122.26,1.913
14,1.9167,4.262903225806451,37.85,52.0,1.0096774193548388,-122.26,1.592
15,2.125,4.242424242424242,37.85,50.0,1.071969696969697,-122.26,1.4
16,2.775,5.9395770392749245,37.85,52.0,1.0483383685800605,-122.27,1.525
17,2.1202,4.052805280528053,37.85,52.0,0.966996699669967,-122.27,1.555
18,1.9911,5.343675417661098,37.84,50.0,1.0859188544152745,-122.26,1.587
19,2.6033,5.465454545454546,37.84,52.0,1.0836363636363637,-122.27,1.629
20,1.3578,4.524096385542169,37.85,40.0,1.108433734939759,-122.27,1.475
21,1.7135,4.478142076502732,37.85,42.0,1.0027322404371584,-122.27,1.598
22,1.725,5.096234309623431,37.84,52.0,1.1317991631799162,-122.27,1.139
23,2.1806,5.193846153846154,37.84,52.0,1.0369230769230768,-122.27,0.997
24,2.6,5.270142180094787,37.84,52.0,1.0355450236966826,-122.27,1.326
25,2.4038,4.495798319327731,37.85,41.0,1.0336134453781514,-122.28,1.075
26,2.4597,4.7280334728033475,37.85,49.0,1.0209205020920502,-122.28,0.938
